Benchmark,ONNX,VNNLIB,Competiton results 2023,,Alpha-beta CROWN-2024,
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_3_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.57615562,unsat,75.6904,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.58708156,unsat,455.7188,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.26134877,unsat,20.7009,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.54243706,unsat,24.7051,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_4_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.5563405,unsat,73.7621,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.24159203,unsat,469.9705,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.30526418,unsat,453.4648,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.60896436,unsat,474.8604,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.35931189,unsat,448.3999,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_4_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.58428468,unsat,456.7027,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.59041983,unsat,55.9373,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.60300493,unsat,60.0363,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.64921474,unsat,49.0915,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_4_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.64687917,unsat,62.3463,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.68217515,unsat,454.7165,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.61787532,unsat,465.4537,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.30037137,unsat,463.0374,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.27690294,unsat,452.7905,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_5_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_1.vnnlib,24.29691825,unsat,41.783,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,24.47704682,unsat,454.9364,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_2_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,22.65554137,sat,2.2997,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_3_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,24.5404268,sat,22.529,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_4_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,22.6162542,sat,0.0254,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_5_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,24.63536931,sat,2.2028,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_6_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,24.47616319,sat,46.7968,sat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_7_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,24.2375152,unsat,52.3796,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_8_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,24.52469476,unsat,473.9626,timeout
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_1_9_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,24.49627021,unsat,55.1345,unsat
acasxu,vnncomp2023_benchmarks/benchmarks/acasxu/onnx/ACASXU_run2a_2_1_batch_2000.onnx,vnncomp2023_benchmarks/benchmarks/acasxu/vnnlib/prop_2.vnnlib,22.62045702,sat,0.0222,sat
